homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,date,consumption,income,michigan_index,tbill,cci,smp500
71,56,75,64,55,63,44,73,55,56,60,56,74,68,52,70,70,50,67,62,71,54,70,60,63,77,61,65,78,62,81,62,68,60,63,73,60,71,77,77,57,75,58,71,69,60,79,62,01feb2008,.60405999,13195.34,70.800003,2.1199999,98.277672,1330.63
70,55,74,64,54,60,42,67,53,54,57,53,67,40,49,66,68,46,69,64,65,52,69,58,63,75,61,62,74,61,78,60,71,57,55,71,58,71,73,74,58,79,56,66,67,55,76,57,01mar2008,.71262002,13202.006,69.5,1.26,97.816353,1322.7
70,57,86,67,57,56,49,73,54,55,53,58,76,39,49,71,65,46,78,66,69,54,66,62,68,76,67,62,73,64,70,58,75,52,57,73,56,69,72,76,61,94,56,67,67,60,80,57,01apr2008,.76858002,13160.788,62.599998,1.29,97.296333,1385.59
69,55,83,65,56,55,40,68,51,55,54,53,69,39,50,63,71,47,72,70,68,53,68,60,65,57,69,60,73,61,65,59,72,47,51,68,57,68,72,72,61,91,55,62,61,57,76,58,01may2008,.79904997,13704.098,59.799999,1.73,96.922974,1400.38
72,55,82,71,53,53,39,63,48,55,54,53,69,39,48,62,77,45,76,66,68,52,68,57,66,56,74,58,76,63,62,57,68,47,49,70,57,66,74,73,57,84,53,63,58,54,75,55,01jun2008,.66806,13359.533,56.400002,1.86,96.805557,1280
70,57,84,66,56,57,45,65,49,60,53,53,67,39,48,67,86,48,80,63,69,50,68,60,65,64,73,59,82,62,65,58,67,50,55,72,59,67,77,75,52,85,57,65,62,54,74,57,01jul2008,-.070670001,13138.288,61.200001,1.63,97.005493,1267.38
69,53,76,63,58,57,37,65,53,56,52,54,64,37,49,65,81,55,71,59,69,52,66,59,62,56,66,62,82,61,59,57,67,57,54,66,57,69,72,73,53,79,52,63,60,51,75,57,01aug2008,-.47496,13054.138,63,1.72,97.258789,1282.83
65,45,78,57,50,52,39,64,50,54,47,53,61,42,47,70,76,47,64,55,74,49,59,54,55,76,71,61,79,54,65,54,65,61,50,58,53,76,66,66,54,76,48,61,59,55,74,52,01sep2008,-1.16117,13067.915,70.300003,1.13,97.333656,1166.36
66,44,75,58,49,51,70,67,53,54,51,54,63,35,45,73,79,40,61,52,67,49,63,54,54,70,64,73,79,52,65,54,67,68,48,54,55,76,72,66,53,74,45,69,60,56,76,52,01oct2008,-1.3907599,13131.123,57.599998,.67000002,96.986237,968.75
60,39,65,53,47,53,100,60,56,58,54,50,64,34,45,70,80,43,62,50,55,49,72,46,53,56,53,62,78,49,52,59,63,60,48,48,61,69,77,64,55,70,37,59,57,49,67,50,01nov2008,-1.84102,13211.827,55.299999,.19,96.733643,896.23999
59,38,61,51,49,51,94,59,67,56,68,50,65,37,49,72,79,57,85,51,61,55,77,47,56,59,49,70,81,52,77,66,66,57,49,49,63,64,79,67,69,67,38,58,55,46,64,50,01dec2008,-2.0935199,13121.721,60.099998,.029999999,96.726303,903.25
