homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,income,michigan_index,tbill,cci,smp500,consumption,date
-.16470589,-.17567568,-.11392405,-.18987341,.016949153,-.14084508,-.23684211,-.083333336,-.089285716,-.06666667,-.2,-.063492067,-.03846154,-.24444444,-.14545454,-.056338027,.011764706,0,-.079545453,-.16666667,-.27142859,-.089285716,0,-.14666666,-.074074075,0,-.15625,-.12121212,-.05882353,-.12987013,-.064935066,-.14492753,-.083333336,-.13207547,-.13114753,-.11363637,-.015151516,-.1388889,-.047619049,-.061728396,-.16393442,.011627907,-.125,-.092105262,-.11111111,-.080645159,-.072289154,-.046153847,.031859368,.063053153,-.026970871,.0041207913,.12273324,1.99235,01jul2007
-.19047619,-.19117647,-.15789473,-.12987013,.048387095,-.12328767,-.32432431,-.09589041,-.098360658,-.033333335,-.20689656,-.15000001,-.14473684,-.34090909,-.17857143,-.1,-.10126583,-.12121212,-.044943821,-.21428572,-.16901408,-.068965517,0,-.17333333,-.15068494,-.11594203,-.23809524,-.13043478,-.093023255,-.15068494,.023809524,-.11594203,-.125,-.1147541,-.17741935,-.16049382,-.047619049,-.078947365,-.06329114,-.049382716,-.13114753,-.025,-.19402985,-.1,-.16901408,-.16666667,-.093023255,-.046153847,.032583088,.016786594,-.18095243,.00090232567,.11544861,2.7239201,01aug2007
-.21126761,-.1724138,-.17142858,-.17647059,0,-.171875,.017241379,-.11428571,-.16666667,-.01754386,-.22222222,-.20338982,-.10810811,.10526316,-.14545454,-.11594203,-.054054055,-.14035088,-.012987013,-.17741935,-.075757578,-.11538462,.071428575,-.20634921,-.18181819,0,-.31578946,-.12857144,-.075000003,-.12121212,-.05882353,-.14516129,-.11267605,-.074626863,-.17460318,-.17391305,-.13793103,-.097222224,-.013513514,-.083333336,-.15000001,-.012820513,-.18965517,-.12857144,-.19117647,-.18032786,-.085365854,-.068965517,.028072029,-.023980815,-.23650379,-.0047322311,.12503684,2.1675999,01sep2007
-.21621622,-.17857143,-.025974026,-.14492753,-.019607844,-.13846155,-.021276595,-.079999998,-.12068965,-.11111111,-.19298245,-.19298245,-.09589041,-.17073171,-.13207547,-.097222224,-.013513514,-.12244898,.03846154,-.1724138,-.059701491,-.053571429,.027777778,-.109375,-.171875,-.027777778,-.11666667,-.11392405,-.050000001,-.16129032,-.12698413,-.092307694,-.11267605,-.027777778,-.12280702,-.11940298,-.048387095,-.025641026,-.053333335,-.04109589,-.16949153,.037974682,-.2037037,-.090909094,-.11111111,-.092307694,-.023255814,-.050000001,.020457732,-.15698388,-.26153845,-.011826048,.11065078,1.73256,01oct2007
-.27536231,-.25531915,.027027028,-.12121212,0,-.14925373,-.125,-.10144927,0,-.016393442,-.18333334,-.16071428,-.11111111,0,-.16666667,-.056338027,-.02739726,-.098039217,-.060606062,-.12068965,-.048387095,-.071428575,-.10126583,-.19642857,-.10769231,-.07692308,-.016666668,-.06849315,-.051282052,-.081967212,-.084745765,-.053333335,-.04109589,-.014705882,-.15789473,-.13793103,-.060606062,-.11940298,-.039999999,-.027777778,-.12307692,.087499999,-.16,-.12676056,-.16666667,-.10526316,-.038961038,-.070175439,.014777835,-.21024968,-.51070338,-.016996216,.05435678,1.89498,01nov2007
-.25352111,-.19148937,-.014285714,-.21311475,.018867925,-.13846155,-.40625,-.14285715,.012820513,-.016129032,-.2,-.21666667,-.1025641,-.06666667,-.19298245,-.044117648,0,-.12328767,-.04109589,-.125,-.109375,-.095238097,-.010989011,-.23214285,-.15151516,-.11111111,-.07272727,-.095238097,-.085365854,-.16666667,-.12068965,-.034883723,-.064102568,.03125,-.16949153,-.15517241,-.11267605,-.044776119,.023255814,-.088607594,-.1923077,.02631579,-.16666667,-.1875,-.18461539,-.12,-.11111111,-.098360658,.013582442,-.21456949,-.61666662,-.019847121,.034092456,1.18241,01dec2007
-.18666667,-.19298245,-.039999999,-.1641791,.054545455,-.11428571,-.093023255,-.05479452,-.03508772,-.053571429,-.1147541,-.18181819,-.093333334,-.31481481,-.089285716,-.083333336,-.10958904,-.096774191,-.12068965,-.14754099,-.097222224,-.054545455,0,-.203125,-.12121212,-.05952381,-.084745765,-.09375,-.075000003,-.096774191,.125,-.11764706,-.075757578,-.033333335,-.055555556,-.14666666,-.048387095,-.05479452,.05882353,-.037500001,-.19642857,.047619049,-.15517241,-.10126583,-.15714286,-.087719299,-.085365854,-.06666667,.011710414,-.23596938,-.81090909,-.021810025,-.04329912,.98851001,01jan2008
-.22535211,-.26785713,-.013333334,-.203125,-.018181818,-.23809524,-.27272728,-.08219178,-.054545455,-.035714287,-.13333334,-.16071428,-.067567565,-.2647059,-.17307693,-.085714288,-.028571429,-.1,-.044776119,-.12903225,-.098591551,-.11111111,.014285714,-.21666667,-.11111111,-.077922076,-.016393442,-.092307694,-.051282052,-.11290322,.049382716,-.14516129,-.11764706,-.016666668,-.095238097,-.1369863,-.11666667,-.070422538,0,-.064935066,-.12280702,.013333334,-.1724138,-.11267605,-.1594203,-.13333334,-.088607594,-.096774191,.0075028003,-.28954801,-1.3726417,-.023554973,-.057258517,.60405999,01feb2008
-.15714286,-.25454545,-.027027028,-.09375,0,-.16666667,-.11904762,-.14925373,-.13207547,0,-.21052632,-.1509434,-.14925373,-.15000001,-.1632653,-.090909094,-.029411765,-.086956523,-.14492753,-.078125,-.10769231,-.096153848,.028985508,-.24137931,-.12698413,-.026666667,0,-.12903225,-.081081077,-.13114753,-.025641026,-.06666667,-.12676056,-.10526316,-.054545455,-.1971831,-.034482758,0,-.01369863,-.067567565,-.15517241,.012658228,-.19642857,-.16666667,-.14925373,-.14545454,-.11842106,-.087719299,.0040946049,-.27194247,-2.920635,-.025649566,-.074211836,.71262002,01mar2008
-.21428572,-.21052632,.046511628,-.14925373,-.03508772,-.25,0,-.06849315,-.14814815,-.018181818,-.1509434,-.12068965,-.02631579,-.17948718,-.18367347,-.070422538,-.10769231,-.13043478,-.1025641,-.090909094,-.11594203,-.11111111,-.060606062,-.16129032,-.13235295,-.14473684,.044776119,-.14516129,-.10958904,-.140625,-.11428571,-.15517241,-.12,-.07692308,-.052631579,-.21917808,-.16071428,-.10144927,-.097222224,-.078947365,-.19672132,.031914894,-.25,-.1641791,-.1641791,-.06666667,-.087499999,-.12280702,.00070588477,-.39137381,-2.7751937,-.029371785,-.069847502,.76858002,01apr2008
